Date,Open,High,Low,Close,Adj Close,Volume,next_day_open,change,abs_change,ticker,fill_date
2023-04-28,133.45,136.93,133.45,135.43,135.172,2032800,136.02,0.004,0.004,A,2023-05-02
2023-05-01,136.02,137.14,135.76,136.08,135.821,1012900,135.02,-0.008,0.008,A,2023-05-02
2023-05-02,135.02,137.16,134.26,134.52,134.264,1629600,135.89,0.01,0.01,A,2023-05-04
2023-05-03,135.89,136.54,134.63,134.77,134.513,1529100,135.38,0.005,0.005,A,2023-05-04
2023-05-04,135.38,136.04,133.76,133.88,133.625,1103700,135.3,0.011,0.011,A,2023-05-05
2023-05-05,135.3,135.41,131.91,133.3,133.046,1890100,134.01,0.005,0.005,A,2023-05-08
2023-05-08,134.01,134.21,131.75,132.45,132.198,1005300,128.5,-0.03,0.03,A,
2023-05-09,128.5,128.5,125.36,127.35,127.107,3437100,128.71,0.011,0.011,A,2023-05-10
2023-05-10,128.71,128.9,126.16,128.06,127.816,1255700,127.17,-0.007,0.007,A,2023-05-12
2023-05-11,127.17,127.7,125.47,127.66,127.417,1580600,128.68,0.008,0.008,A,2023-05-12
2023-05-12,128.68,128.68,126.53,127.49,127.247,1422600,127.94,0.004,0.004,A,2023-05-15
2023-05-15,127.94,128.19,126.75,127.99,127.746,1262800,126.97,-0.008,0.008,A,2023-05-18
2023-05-16,126.97,127.4,125.79,126.29,126.049,1190000,127.04,0.006,0.006,A,2023-05-17
2023-05-17,127.04,127.79,125.78,127.77,127.526,1968200,127.65,-0.001,0.001,A,2023-05-18
2023-05-18,127.65,129.33,126.49,129.14,128.894,1637000,129.59,0.003,0.003,A,2023-05-19
2023-05-19,129.59,130.47,128.62,128.87,128.624,1480400,128.66,-0.002,0.002,A,2023-05-22
2023-05-22,128.66,129.75,128.29,129.09,128.844,1764500,129.03,-0.0,0.0,A,2023-05-23
2023-05-23,129.03,130.54,127.91,128.64,128.395,2784400,115.2,-0.104,0.104,A,2023-07-24
2023-05-24,115.2,121.09,113.28,120.99,120.759,6850400,121.41,0.003,0.003,A,2023-05-25
2023-05-25,121.41,121.41,117.64,119.49,119.262,3218900,120.07,0.005,0.005,A,2023-05-26
2023-05-26,120.07,120.72,118.38,120.42,120.19,2089100,120.01,-0.003,0.003,A,2023-05-30
2023-05-30,120.01,121.31,117.67,117.73,117.506,2094800,116.99,-0.006,0.006,A,2023-06-02
2023-05-31,116.99,117.15,114.8,115.67,115.45,3998800,116.97,0.011,0.011,A,2023-06-01
2023-06-01,116.97,117.64,115.0,116.26,116.038,3966100,117.77,0.013,0.013,A,2023-06-02
2023-06-02,117.77,118.41,116.02,118.22,117.995,3263100,118.58,0.003,0.003,A,2023-06-05
2023-06-05,118.58,119.76,117.09,118.35,118.124,2129300,118.78,0.004,0.004,A,2023-06-06
2023-06-06,118.78,119.22,116.64,117.44,117.216,1758800,117.17,-0.002,0.002,A,2023-06-12
2023-06-07,117.17,117.37,115.14,116.59,116.368,3643500,115.93,-0.006,0.006,A,2023-06-08
2023-06-08,115.93,116.9,114.66,114.69,114.471,2558600,115.58,0.008,0.008,A,2023-06-09
2023-06-09,115.58,116.0,114.16,115.79,115.569,1981500,115.86,0.001,0.001,A,2023-06-28
2023-06-12,115.86,118.65,115.82,118.54,118.314,2747800,118.68,0.001,0.001,A,2023-06-20
2023-06-13,118.68,121.16,118.68,119.5,119.272,2502400,119.99,0.004,0.004,A,2023-06-14
2023-06-14,119.99,120.97,118.9,119.4,119.172,2662900,118.88,-0.004,0.004,A,2023-06-15
2023-06-15,118.88,121.74,118.73,121.23,120.999,1791100,122.1,0.007,0.007,A,2023-06-16
2023-06-16,122.1,123.18,120.63,121.13,120.899,3941300,118.64,-0.021,0.021,A,2023-07-19
2023-06-20,118.64,118.79,116.88,118.16,117.935,2108200,117.79,-0.003,0.003,A,2023-06-21
2023-06-21,117.79,119.11,117.27,118.33,118.104,1393400,118.84,0.004,0.004,A,2023-06-22
2023-06-22,118.84,118.95,117.17,118.68,118.454,1736000,117.76,-0.008,0.008,A,2023-06-23
2023-06-23,117.76,119.71,117.58,119.42,119.192,2632600,118.96,-0.004,0.004,A,2023-06-26
2023-06-26,118.96,119.8,117.34,118.37,118.144,1673400,118.47,0.001,0.001,A,2023-06-27
2023-06-27,118.47,118.96,116.73,117.04,116.817,2326100,116.7,-0.003,0.003,A,2023-06-28
2023-06-28,116.7,117.11,115.71,116.37,116.148,2196800,116.16,-0.002,0.002,A,2023-06-29
2023-06-29,116.16,118.25,116.07,118.05,117.825,1885800,118.73,0.006,0.006,A,2023-07-06
2023-06-30,118.73,120.69,118.3,120.25,120.25,2487900,120.02,-0.002,0.002,A,2023-07-03
2023-07-03,120.02,120.85,119.22,119.32,119.32,996200,118.95,-0.003,0.003,A,2023-07-05
2023-07-05,118.95,120.28,118.61,119.5,119.5,1246200,116.36,-0.026,0.026,A,2023-07-10
2023-07-06,116.36,118.89,115.66,118.43,118.43,1626600,117.67,-0.006,0.006,A,2023-07-07
2023-07-07,117.67,119.08,116.89,117.0,117.0,1493300,116.73,-0.002,0.002,A,2023-07-10
2023-07-10,116.73,119.52,116.56,118.36,118.36,1889200,118.3,-0.001,0.001,A,2023-07-11
2023-07-11,118.3,118.98,117.64,118.48,118.48,1096700,120.0,0.013,0.013,A,2023-07-14
2023-07-12,120.0,120.49,119.15,120.0,120.0,1595400,120.76,0.006,0.006,A,2023-07-13
2023-07-13,120.76,120.87,118.99,119.35,119.35,1229800,119.54,0.002,0.002,A,2023-07-14
2023-07-14,119.54,120.39,118.25,119.75,119.75,1225400,119.95,0.002,0.002,A,2023-07-17
2023-07-17,119.95,119.98,117.66,118.25,118.25,1123000,118.38,0.001,0.001,A,2023-07-18
2023-07-18,118.38,119.79,118.0,119.56,119.56,1362700,120.01,0.004,0.004,A,
2023-07-19,120.01,123.34,119.86,123.08,123.08,2425400,123.51,0.003,0.003,A,
2023-07-20,123.51,124.9,123.13,124.55,124.55,2278800,124.55,0.0,0.0,A,2023-07-21
2023-07-21,124.55,128.3,123.14,127.62,127.62,3918200,127.62,0.0,0.0,A,2023-07-24
2023-07-24,127.62,129.39,127.19,127.72,127.72,2001200,125.0,-0.021,0.021,A,2023-07-25
2023-07-25,125.0,129.55,124.15,127.31,127.31,2199400,125.0,-0.018,0.018,A,
2023-04-28,12.94,13.7,12.85,13.64,13.64,45057400,13.6,-0.003,0.003,AAL,2023-05-01
2023-05-01,13.6,14.03,13.52,13.89,13.89,29101800,13.83,-0.004,0.004,AAL,2023-05-03
2023-05-02,13.83,13.87,13.52,13.77,13.77,22469800,13.79,0.001,0.001,AAL,2023-05-03
2023-05-03,13.79,14.04,13.68,13.79,13.79,20844800,13.79,0.0,0.0,AAL,2023-05-04
2023-05-04,13.79,13.89,13.35,13.51,13.51,22983700,13.73,0.016,0.016,AAL,
2023-05-05,13.73,13.95,13.63,13.87,13.87,20608900,14.34,0.034,0.034,AAL,2023-05-12
2023-05-08,14.34,14.66,14.23,14.36,14.36,34586900,14.38,0.001,0.001,AAL,2023-05-09
2023-05-09,14.38,14.56,14.21,14.47,14.47,19682700,14.67,0.014,0.014,AAL,2023-05-10
